URI,FS_ID
http://data.europa.eu/esco/skill/7a8fb784-67fa-41e9-a75c-6b491d91f800,FS_8
http://data.europa.eu/esco/skill/96de2e86-e287-41f2-88ab-15a2343afc6f,FS_8
http://data.europa.eu/esco/skill/a3ce2bf7-5562-4639-9b52-fdb4850a3904,FS_8
http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,FS_8
http://data.europa.eu/esco/skill/7a147904-22b3-498a-b4d9-7bceeb86b45d,FS_8
http://data.europa.eu/esco/skill/118efbcd-8fc5-4668-81d1-c383a0d16070,FS_8
http://data.europa.eu/esco/skill/0ee94af1-b445-4973-9c3f-459fab250342,FS_8
http://data.europa.eu/esco/skill/669b75d8-671c-4a1c-8e0b-6466c513c27d,FS_8
http://data.europa.eu/esco/skill/334e3e49-fb02-4051-809a-f06adfdc1c40,FS_8
http://data.europa.eu/esco/skill/409a0245-0e6c-4aac-ba16-0920ecb76a8d,FS_9
http://data.europa.eu/esco/skill/669b75d8-671c-4a1c-8e0b-6466c513c27d,FS_9
http://data.europa.eu/esco/skill/19a64e91-bfe3-4c48-9225-3bb1229b12f0,FS_9
http://data.europa.eu/esco/skill/7a147904-22b3-498a-b4d9-7bceeb86b45d,FS_9
http://data.europa.eu/esco/skill/469748ce-051a-407e-9099-0c9415ac2705,FS_9
http://data.europa.eu/esco/skill/5cd1930c-278d-4929-b413-27352f5b3687,FS_9
http://data.europa.eu/esco/skill/1835a7c1-600e-4b16-a0af-fb4f7d8d77b9,FS_9
http://data.europa.eu/esco/skill/77b636e8-fab3-41a8-8022-1e0a354059dc,FS_9
http://data.europa.eu/esco/skill/fbdfc3bf-56a0-4454-a17d-2f513fe57b53,FS_9
http://data.europa.eu/esco/skill/9177b89b-1efa-4fdc-abac-fa720241a9cb,FS_9
http://data.europa.eu/esco/skill/bcf002ce-90f8-42e5-ac1b-5dba208639b0,FS_9
http://data.europa.eu/esco/skill/d15f8745-28f8-4abf-a7b6-6cb8a304efd2,FS_9
http://data.europa.eu/esco/skill/e49f4158-9d4c-425d-bf32-dfe89b19840a,FS_10
http://data.europa.eu/esco/skill/d56e2c2f-3e01-4b76-a7bb-ecb6d430172f,FS_10
http://data.europa.eu/esco/skill/c54b03a9-fe20-42af-9e8a-f8896af4a4f9,FS_10
http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4,FS_10
http://data.europa.eu/esco/skill/cc3b901c-4d66-48f8-90b9-41883be1e1ed,FS_10
http://data.europa.eu/esco/skill/1fcce318-3212-487a-ac07-4941bc85060d,FS_10
http://data.europa.eu/esco/skill/4e0076f7-155d-4e2a-a058-39097de48420,FS_10
http://data.europa.eu/esco/skill/19a64e91-bfe3-4c48-9225-3bb1229b12f0,FS_10
http://data.europa.eu/esco/skill/7a93e22f-54d8-4bf0-9213-d711f6601b49,FS_10
http://data.europa.eu/esco/skill/113b4428-0a31-4199-8496-070af7854b91,FS_10
http://data.europa.eu/esco/skill/d15ce60f-ddab-41ce-ba56-398451b77b60,FS_10
