sector;company_size;user_role;job_position;occupation;occupation_correct;working_times;home_office;self_initiative;flexibility;leadership;communication;creativity;customer_orientation;organization;problem_solving;resilience;goal_orientation;created
Ç?ffentlicher Sektor;Weniger als 5000;"[""Homeoffice"",""flex. Arbeitszeiten"",""Mobiles Arbeiten"",""Kantine \/ Essenzulagen"",""betriebliche Altersvorsorge"",""Verm\u00f6genswirksame Leistungen"",""Mitarbeiter-Rabatte"",""internationale Arbeitseins\u00e4tze m\u00f6glich"",""Fortbildungsangebote"",""Parkplatz""]";Projektleitung KI-Projekte;Wissenschaftlicher Mitarbeiter/Wissenschaftliche Mitarbeiterin;Wissenschaftlicher Mitarbeiter/Wissenschaftliche Mitarbeiterin;Beides mÇôglich;1;78;67;22;67;67;78;67;61;72;67;2023-09-26 11:39:08.000
Ç?ffentlicher Sektor;Weniger als 5000;"[""Homeoffice"",""flex. Arbeitszeiten"",""Mobiles Arbeiten"",""Kantine \/ Essenzulagen"",""betriebliche Altersvorsorge"",""Verm\u00f6genswirksame Leistungen"",""Mitarbeiter-Rabatte"",""internationale Arbeitseins\u00e4tze m\u00f6glich"",""Fortbildungsangebote"",""Parkplatz""]";HiWi;HilfsarbeitskrÇÏfte;Wissenschaftliche Hilfskraft;Teilzeit;1;17;42;61;67;46;67;50;50;39;56;2023-09-26 12:11:19.000
Gesundheits- und Bildungssektor;Weniger als 500;"[""Homeoffice"",""flex. Arbeitszeiten"",""Mobiles Arbeiten"",""Fortbildungsangebote"",""internationale Arbeitseins\u00e4tze m\u00f6glich""]";Projektleiter KI-Projekte;Wissenschaftlicher Mitarbeiter/Wissenschaftliche Mitarbeiterin;Wissenschaftlicher Mitarbeiter/Wissenschaftliche Mitarbeiterin;Beides mÇôglich;0;67;83;89;72;83;89;94;72;72;89;2023-09-27 16:27:42.000
;;[];;;;;0;94;92;94;94;88;89;94;72;61;83;2023-10-11 18:35:15.000
Produzierendes Gewerbe / Industrie;Weniger als 1000;"[""Homeoffice"",""flex. Arbeitszeiten"",""Mobiles Arbeiten"",""Mitarbeiter-Events"",""betriebliche Altersvorsorge"",""Verm\u00f6genswirksame Leistungen"",""Fortbildungsangebote"",""Mitarbeiter-Rabatte"",""Parkplatz"",""Hunde geduldet"",""gute Verkehrsanbindung"",""internationale Arbeitseins\u00e4tze m\u00f6glich""]";Junior Sales Manager;Vertriebstechniker/Vertriebstechnikerin;Verkäufer/Verkäuferin;Vollzeit;0;89;67;83;72;71;83;78;72;61;56;2023-10-17 15:54:31.000
Dienstleistungen;10.000 und mehr;"[""flex. Arbeitszeiten"",""Mobiles Arbeiten"",""Mitarbeiter-Events"",""Kantine \/ Essenzulagen"",""Gesundheitsf\u00f6rderung \/ -ma\u00dfnahmen"",""Fortbildungsangebote"",""Mitarbeiter-Rabatte"",""Parkplatz"",""gute Verkehrsanbindung""]";WirtschaftsprÇ¬fer;WirtschaftsprÇ¬fer, Steuerberater und verwandte Berufe;Wirtschaftsprüfer, Steuerberater und verwandte Berufe;Vollzeit;1;61;83;89;83;79;83;100;56;61;67;2023-10-17 19:33:03.000
Ç?ffentlicher Sektor;Weniger als 500;"[""flex. Arbeitszeiten"",""gute Verkehrsanbindung"",""internationale Arbeitseins\u00e4tze m\u00f6glich"",""Homeoffice""]";Projektmitarbeiter KI;Wissenschaftlicher Mitarbeiter/Wissenschaftliche Mitarbeiterin;Wissenschaftlicher Mitarbeiter/Wissenschaftliche Mitarbeiterin;;0;78;50;89;72;79;78;89;72;78;78;2023-11-02 15:17:23.000
IT, Medien und Telekommunikation;Weniger als 50;"""Andere Rolle""";Kundenberater/ Vertrieb;Kundenbetreuer/Kundenbetreuerin;Kundenbetreuer/Kundenbetreuerin;Vollzeit;1;78;75;89;72;100;78;89;83;72;89;2024-01-17 22:49:43.000
Banken und Versicherungen;Weniger als 5000;"""Oberes Management""";Wirtschaftsingenieur;Wirtschaftsingenieur/Wirtschaftsingenieurin;Wirtschaftsingenieur/Wirtschaftsingenieurin;Vollzeit;0;100;100;100;100;94;100;94;72;72;83;2024-01-29 15:13:48.000
Dienstleistungen;Weniger als 10.000;"""Bereichsleitung""";FÇ¬hrungskraft im Vertrieb;FÇ¬hrungskraft im Vertrieb;Führungskraft im Vertrieb;Vollzeit;1;78;100;61;94;78;72;83;50;44;89;2024-01-29 15:15:54.000
Dienstleistungen;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";Projektmanager im HR;Projektmanager/Projektmanagerin;Führungskraft im Personalwesen;Vollzeit;0;67;67;61;67;56;44;72;83;83;78;2024-01-29 15:17:26.000
IT, Medien und Telekommunikation;10.000 und mehr;"""Andere Rolle""";Developer;Softwareentwickler;Softwareentwickler/Softwareentwicklerin;Vollzeit;1;78;100;28;22;28;28;17;67;44;39;2024-01-29 15:19:31.000
IT, Medien und Telekommunikation;Weniger als 100;"""Mitarbeitende:r aus dem Team""";Softwareentwickler;Softwareentwickler;Softwareentwickler/Softwareentwicklerin;Beides mÇôglich;0;67;83;50;33;50;22;17;28;28;44;2024-01-29 15:19:44.000
Banken und Versicherungen;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";Hardwaretechniker;Informatiker/Informatikerin;Informatiker/Informatikerin;Vollzeit;0;78;83;44;44;67;67;28;50;56;44;2024-01-29 15:19:48.000
Banken und Versicherungen;Weniger als 5000;"""Oberes Management""";FÇ¬hrungskraft im FilialgeschÇÏft;FÇ¬hrungskrÇÏfte;Führungskräfte auf Filialebene in der Erbringung von Finanz- und Versicherungsdienstleistungen;Vollzeit;1;89;67;78;89;61;89;89;39;17;44;2024-01-29 15:21:18.000
Banken und Versicherungen;Weniger als 1000;"""Mitarbeitende:r aus dem Team""";;Betriebsleiter/Betriebsleiterin;Betriebsleiter/Betriebsleiterin;Vollzeit;0;67;58;78;67;89;78;83;78;78;56;2024-01-29 16:32:17.000
IT, Medien und Telekommunikation;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";Softwareentwickler;Informatiker/Informatikerin;Softwareentwickler/Softwareentwicklerin;Vollzeit;1;89;92;94;72;78;83;72;72;72;72;2024-01-29 16:32:45.000
IT, Medien und Telekommunikation;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";FÇ¬hrungskraft ;Betriebsleiter/Betriebsleiterin;Betriebsleiter/Betriebsleiterin;Beides mÇôglich;1;83;67;78;33;72;72;67;33;44;72;2024-01-29 16:32:55.000
Banken und Versicherungen;Weniger als 1000;"""Bereichsleitung""";;;;;0;83;83;72;44;61;78;67;28;28;61;2024-01-29 16:32:57.000
Banken und Versicherungen;Weniger als 1000;"""Andere Rolle""";;;;Vollzeit;0;72;67;78;72;61;78;89;61;61;78;2024-01-29 16:33:02.000
IT, Medien und Telekommunikation;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";FÇ¬hrungskraft;Betriebsleiter/Betriebsleiterin;Betriebsleiter/Betriebsleiterin;Vollzeit;0;67;50;89;33;72;67;78;56;28;72;2024-01-29 16:33:08.000
IT, Medien und Telekommunikation;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";FÇ¬hrungskraft ;Betriebsleiter/Betriebsleiterin;Betriebsleiter/Betriebsleiterin;Beides mÇôglich;1;89;100;83;72;72;89;100;83;67;89;2024-01-29 16:33:23.000
Banken und Versicherungen;Weniger als 5000;"""Andere Rolle""";Informatiker ;;Informatiker/Informatikerin;Vollzeit;1;61;67;50;28;44;17;17;61;17;28;2024-01-29 16:33:25.000
IT, Medien und Telekommunikation;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";Teamleiterin Vertrieb;FÇ¬hrungskrÇÏfte;Führungskraft im Vertrieb;Vollzeit;1;83;75;94;78;72;72;89;50;50;78;2024-01-29 16:33:41.000
Banken und Versicherungen;Weniger als 1000;"""Andere Rolle""";Dualer Student;;;Vollzeit;0;89;75;83;83;56;83;56;72;72;83;2024-01-29 16:34:02.000
IT, Medien und Telekommunikation;Weniger als 5000;"""Andere Rolle""";Technical Consultant ;;IT-Consultant für Systemintegration;Vollzeit;0;67;67;83;67;78;67;67;72;61;72;2024-01-29 16:35:07.000
Produzierendes Gewerbe / Industrie;Weniger als 500;"""HR\/Recruiting""";Nachhaltigkeitsbeauftragte/r;Abfallentsorgungsarbeiter;Nachhaltigkeitsmanager/Nachhaltigkeitsmanagerin;Beides mÇôglich;0;56;100;78;67;50;89;50;72;72;61;2024-01-31 11:47:05.000
Handel;Weniger als 50;"""Teamleitung""";Filialleiter;FÇ¬hrungskrÇÏfte;Verkaufsaufsichtskraft;Beides mÇôglich;0;89;67;89;83;56;78;72;50;56;67;2024-02-05 11:54:13.000
Verkehr, Transport und Logistik;Weniger als 500;"""Bereichsleitung""";Teamleiter Logistik;FÇ¬hrungskrÇÏfte;Führungskraft für intermodale Logistik;Vollzeit;0;83;100;83;78;83;78;50;28;39;78;2024-02-06 15:37:20.000
Ç?ffentlicher Sektor;Weniger als 500;"""Andere Rolle""";;Softwareentwickler;Softwareentwickler;Beides mÇôglich;0;61;67;83;44;72;78;89;61;61;67;2024-02-08 10:18:46.000
Verkehr, Transport und Logistik;Weniger als 500;"""Bereichsleitung""";Kommissionierer;Lagerarbeiter/Lagerarbeiterin;Lagerarbeiter/Lagerarbeiterin;Vollzeit;0;6;42;44;72;61;50;61;22;39;33;2024-02-08 13:50:32.000
IT, Medien und Telekommunikation;Weniger als 1000;"""Teamleitung""";Sales and Service Trainerin;Call-Center-Trainer/Call-Center-Trainerin;Call-Center-Trainer/Call-Center-Trainerin;Vollzeit;0;83;83;78;94;94;100;61;83;78;94;2024-02-08 16:42:01.000
Dienstleistungen;Weniger als 50;"""Bereichsleitung""";Salesmanager;Ertragsmanager/Ertragsmanagerin;Verkaufsleiter/Verkaufsleiterin;Vollzeit;1;83;78;89;94;89;100;100;94;89;100;2024-03-06 10:40:32.000
Ç?ffentlicher Sektor;Weniger als 1000;"""Teamleitung""";Schule;;;Teilzeit;0;61;56;83;83;44;50;56;56;44;67;2024-03-13 12:22:50.000
Gesundheits- und Bildungssektor;Weniger als 500;"""Oberes Management""";QualitÇÏtsbeauftragte;QualitÇÏtsmanager/QualitÇÏtsmanagerin;QualitÇÏtsmanager/QualitÇÏtsmanagerin;Beides mÇôglich;0;67;61;78;89;78;100;78;83;56;72;2024-03-14 13:32:51.000
IT, Medien und Telekommunikation;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";;Asphaltlabortechniker/Asphaltlabortechnikerin;;Vollzeit;0;89;100;100;100;100;100;100;100;100;100;2024-03-19 09:08:05.000
Handel;Weniger als 5000;"""HR\/Recruiting""";Wirtschaftsingenieur;Informatiker/Informatikerin;Wirtschaftsingenieur/Wirtschaftsingenieurin;Vollzeit;1;72;56;72;94;78;72;83;50;61;72;2024-03-19 09:11:52.000
IT, Medien und Telekommunikation;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";;Ertragsmanager/Ertragsmanagerin;Ertragsmanager/Ertragsmanagerin;;0;83;83;83;83;83;83;83;83;83;83;2024-03-19 09:12:58.000
IT, Medien und Telekommunikation;Weniger als 10.000;"""Andere Rolle""";Softwareentwicklung in der IT;Softwareentwickler/Softwareentwicklerin;Softwareentwickler/Softwareentwicklerin;Vollzeit;0;78;78;39;89;44;67;83;83;83;83;2024-03-19 09:15:14.000
Verkehr, Transport und Logistik;10.000 und mehr;"""Andere Rolle""";Projektleiter ;Flugsicherungstechniker/Flugsicherungstechnikerin;Projektmanager/Projektmanagerin;Vollzeit;0;89;33;67;56;67;67;67;72;50;67;2024-03-19 09:15:24.000
Banken und Versicherungen;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";Berater ;Bankangestellter/Bankangestellte;Bankkundenberater/Bankkundenberaterin;Vollzeit;1;83;56;67;67;67;67;78;61;33;33;2024-03-19 09:15:26.000
Handel;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";Dualer Student;Ertragsmanager/Ertragsmanagerin;;Vollzeit;0;83;56;72;56;67;50;56;50;44;56;2024-03-19 09:15:41.000
IT, Medien und Telekommunikation;10.000 und mehr;"""Andere Rolle""";;Projektmanager/Projektmanagerin;Projektmanager/Projektmanagerin;Vollzeit;0;78;44;72;78;72;78;61;72;56;78;2024-03-19 09:15:42.000
Banken und Versicherungen;Weniger als 500;"""Mitarbeitende:r aus dem Team""";Kundenberater ;Bankkundenberater/Bankkundenberaterin;Bankkundenberater/Bankkundenberaterin;Vollzeit;1;83;72;83;100;89;94;83;78;83;94;2024-03-19 09:15:45.000
Verkehr, Transport und Logistik;Weniger als 1000;"""Andere Rolle""";;Flugsicherungstechniker/Flugsicherungstechnikerin;Flugsicherungstechniker/Flugsicherungstechnikerin;Vollzeit;0;100;89;83;72;72;72;72;89;78;83;2024-03-19 09:16:02.000
Banken und Versicherungen;Weniger als 1000;"""Andere Rolle""";;;;Vollzeit;0;72;44;89;61;61;61;56;33;17;50;2024-03-19 09:16:03.000
IT, Medien und Telekommunikation;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";SoftwareentwicklerIn;Softwareentwickler/Softwareentwicklerin;Softwareentwickler/Softwareentwicklerin;Vollzeit;1;72;83;72;72;72;50;72;89;56;67;2024-03-19 09:16:05.000
Banken und Versicherungen;Weniger als 500;"""Teamleitung""";Kundenbetreuung Immobilien;Kundenbetreuer/Kundenbetreuerin;Kundenbetreuer/Kundenbetreuerin;Vollzeit;0;83;83;56;56;78;67;83;83;83;83;2024-03-19 09:17:00.000
Banken und Versicherungen;Weniger als 1000;"""Andere Rolle""";Privatkundenberater ;Bankkundenberater/Bankkundenberaterin;Bankkundenberater/Bankkundenberaterin;Vollzeit;1;78;72;100;89;78;89;89;44;61;72;2024-03-19 09:17:11.000
IT, Medien und Telekommunikation;Weniger als 50;"""Andere Rolle""";Softwareentwickler;;Softwareentwickler/Softwareentwicklerin;Vollzeit;1;78;67;83;83;78;89;89;67;44;67;2024-03-19 09:18:16.000
IT, Medien und Telekommunikation;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";Anwendungsentwickler/-betreuer;IT-Anwendungsentwickler/IT-Anwendungsentwicklerin;IT-Anwendungsentwickler/IT-Anwendungsentwicklerin;Vollzeit;1;61;61;89;94;72;100;50;44;39;39;2024-03-19 09:19:48.000
Banken und Versicherungen;Weniger als 5000;"""Andere Rolle""";Bankkundenberater;Bankkundenberater/Bankkundenberaterin;Bankkundenberater/Bankkundenberaterin;Beides mÇôglich;1;56;56;78;78;33;83;22;61;28;28;2024-03-19 09:20:14.000
IT, Medien und Telekommunikation;Weniger als 5000;"""Andere Rolle""";Softwareentwickler;Softwareentwickler fÇ¬r Embedded Systems/Softwareentwicklerin fÇ¬r Embedded Systems;Softwareentwickler fÇ¬r Embedded Systems/Softwareentwicklerin fÇ¬r Embedded Systems;Vollzeit;1;67;78;89;61;67;56;33;44;22;78;2024-03-19 09:20:44.000
Banken und Versicherungen;Weniger als 500;"""Andere Rolle""";Privatkundenberater ;Bankkundenberater/Bankkundenberaterin;Bankkundenberater/Bankkundenberaterin;Vollzeit;0;61;67;22;67;44;94;39;22;17;22;2024-03-19 09:21:05.000
Banken und Versicherungen;Weniger als 500;"""Andere Rolle""";Bankkauffrau;Lehrassistent Grundschule/Lehrassistentin Grundschule;Bankangestellter/Bankangestellte;;0;67;56;67;72;67;83;61;56;56;56;2024-03-19 09:21:07.000
Banken und Versicherungen;Weniger als 1000;"""Andere Rolle""";Privatkundenberater;;Bankkundenberater/Bankkundenberaterin;Vollzeit;1;56;44;50;61;100;78;89;94;44;78;2024-03-19 09:21:50.000
IT, Medien und Telekommunikation;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";Softwareentwicklung:in;Informatiker/Informatikerin;Softwareentwickler/Softwareentwicklerin;Vollzeit;1;72;50;39;50;89;44;44;67;33;44;2024-03-19 09:22:04.000
IT, Medien und Telekommunikation;Weniger als 1000;"""Andere Rolle""";Softwareentwickler SAP EWM;Softwareentwickler/Softwareentwicklerin;Softwareentwickler/Softwareentwicklerin;Vollzeit;1;89;78;78;72;61;100;33;72;72;78;2024-03-19 09:22:49.000
IT, Medien und Telekommunikation;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";Softwareentwickler ;Informatiker/Informatikerin;Softwareentwickler/Softwareentwicklerin;Vollzeit;1;50;72;78;78;78;50;50;44;44;17;2024-03-19 09:25:56.000
Dienstleistungen;10.000 und mehr;"""Andere Rolle""";Student ;;;Vollzeit;1;67;61;67;67;67;67;67;56;50;44;2024-03-19 11:42:25.000
IT, Medien und Telekommunikation;Weniger als 50;"""Mitarbeitende:r aus dem Team""";Dualer Student ;Ertragsmanager/Ertragsmanagerin;;Vollzeit;1;72;61;56;56;67;94;78;83;78;78;2024-03-19 11:42:28.000
Dienstleistungen;Weniger als 100;"""Mitarbeitende:r aus dem Team""";Ertragsmanager;Ertragsmanager/Ertragsmanagerin;Ertragsmanager/Ertragsmanagerin;Vollzeit;1;67;50;50;72;61;50;56;67;33;72;2024-03-19 11:43:10.000
IT, Medien und Telekommunikation;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";;Ertragsmanager/Ertragsmanagerin;Ertragsmanager/Ertragsmanagerin;Vollzeit;1;94;89;100;67;56;61;44;72;67;44;2024-03-19 11:43:46.000
IT, Medien und Telekommunikation;Weniger als 1000;"""Andere Rolle""";Marketingmanager;;Marketingleiter/Marketingleiterin;Vollzeit;1;89;83;78;83;83;78;72;56;44;72;2024-03-19 11:44:34.000
Produzierendes Gewerbe / Industrie;Weniger als 1000;"""Mitarbeitende:r aus dem Team""";Dualer Student im E Commerce;;;Vollzeit;1;61;67;33;78;44;61;44;44;44;44;2024-03-19 11:46:35.000
IT, Medien und Telekommunikation;Weniger als 500;"""Mitarbeitende:r aus dem Team""";FÇ¬hrungskraft Medientechnologe ;Medientechnologe Druck/Medientechnologin Druck;Medientechnologe Druck/Medientechnologin Druck;Vollzeit;0;61;56;94;44;22;100;39;61;78;44;2024-03-19 11:46:43.000
IT, Medien und Telekommunikation;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";;Technischer Leiter fÇ¬r BÇ¬hne, Film und Fernsehen/Technische Leiterin fÇ¬r BÇ¬hne, Film und Fernsehen;Technischer Leiter fÇ¬r BÇ¬hne, Film und Fernsehen/Technische Leiterin fÇ¬r BÇ¬hne, Film und Fernsehen;Vollzeit;1;50;61;56;67;89;78;83;50;78;83;2024-03-19 11:46:52.000
Handel;Weniger als 5000;"""Andere Rolle""";duale Studentin ;;;;1;56;56;100;67;72;78;89;39;33;56;2024-03-19 11:48:36.000
Handel;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";;Brand Manager/Brand Managerin;Brand Manager/Brand Managerin;;1;100;100;100;100;100;100;100;100;100;100;2024-03-19 11:49:54.000
Produzierendes Gewerbe / Industrie;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";Marketingleiter ;Marketingleiter/Marketingleiterin;Marketingleiter/Marketingleiterin;Vollzeit;1;94;89;72;89;78;89;78;72;72;67;2024-03-19 11:52:20.000
